119.1,331312,331314,ab,02,Hv.C.Ca.P.Pa
119.1,331315,331319,ab,00,Hv.C.Ca
119.2,331320,331322,ab,20,C.Ca.P.Pa
119.2,331323,331326,ab,00,C.Ca
119.3,331327,331330,ab,02,Hv.S.Sa.C.Ca
119.3,331331,331333,ab,00,Hv.S.Sa.C.Ca
119.4,331334,331336,ab,20,C.Ca
119.4,331337,331339,ab,00,C.Ca
119.5,331340,331342,ab,20,C.Ca
119.5,331343,331345,ab,00,C.Ca
119.6,331346,331348,ab,02,Hv.C.Ca
119.6,331349,331353,ab,00,Hv.C.Ca
119.7,331354,331357,ab,02,Hv.C.Ca
119.7,331358,331361,ab,00,Hv.C.Ca
119.8,331362,331364,ab,02,Hv.S.Sa.C.Ca
119.8,331365,331368,ab,00,Hv.S.Sa.C.Ca
119.9,331369,331374,ab,02,Hv.C.Ca
119.9,331375,331378,ab,00,Hv.C.Ca
119.10,331379,331382,ab,02,Hv.S.Sa.C.Ca
119.10,331383,331386,ab,00,Hv.S.Sa.C.Ca
119.11,331387,331390,ab,02,Hv.S.Sa.C.Ca
119.11,331391,331394,ab,00,Hv.S.Sa.C.Ca
119.12,331395,331399,ab,00,V.Hv
119.13,331400,331402,ab,02,Hv
119.13,331403,331405,ab,00,Hv.P.Pa
119.14,331406,331409,ab,20,N
119.14,331410,331413,ab,00,P.Pa
119.15,331414,331416,ab,02,Hv.S.Sa.C.Ca
119.15,331417,331419,ab,00,Hv.S.Sa.C.Ca
119.16,331420,331422,ab,02,Hv.S.Sa.C.Ca
119.16,331423,331425,ab,00,Hv.S.Sa.C.Ca
