357616-357619,"[['357616', 'S.Sa.C.Ca.P.Pa.W'], ['357617', 'P.Pa.W'], ['357617-357619', 'S.Sa.C.Ca'], ['357618', 'P.Pa.W'], ['357619', 'P.Pa.W']]"
357626-357629,"[['357626', 'P.Pa.W'], ['357626-357627', 'Sa.C.Ca'], ['357627', 'P.Pa.W'], ['357628', 'P.Pa.W'], ['357628-357629', 'S.Sa.C.Ca'], ['357629', 'P.Pa.W']]"
357638-357642,"[['357638', 'P.Pa.W'], ['357638-357639', 'C.Ca'], ['357639', 'P.Pa.W'], ['357640', 'P.Pa.W'], ['357640-357642', 'C.Ca'], ['357641', 'P.Pa.W'], ['357642', 'P.Pa.W']]"
357661-357665,"[['357661', 'P.Pa.W'], ['357661-357662', 'C.Ca'], ['357662', 'P.Pa.W'], ['357663', 'P.Pa.W'], ['357663-357665', 'C.Ca'], ['357664', 'P.Pa.W'], ['357665', 'P.Pa.W']]"
357673-357677,"[['357673', 'P.Pa.W'], ['357674', 'P.Pa.W'], ['357675', 'P.Pa.W'], ['357676', 'W'], ['357676-357677', 'P.Pa'], ['357677', 'W']]"
357696-357699,"[['357696', 'P.Pa.W'], ['357697', 'P.Pa.W'], ['357698', 'W'], ['357698-357699', 'P.Pa'], ['357699', 'W']]"
357709-357710,"[['357709', 'P.Pa.W'], ['357710', 'C.Ca.P.Pa.W']]"
357720-357723,"[['357720', 'Sp.W'], ['357720-357721', 'P.Pa'], ['357721', 'Sp.W'], ['357722', 'P.Pa.W'], ['357723', 'P.Pa.W']]"
357745-357749,"[['357745', 'Sp.W'], ['357745-357747', 'P.Pa'], ['357746', 'W'], ['357746-357747', 'Sp'], ['357747', 'W'], ['357748', 'P.Pa.W'], ['357749', 'P.Pa.W']]"
357756-357759,"[['357756', 'P.Pa.W'], ['357756-357757', 'S.Sa.C.Ca'], ['357757', 'P.Pa.W'], ['357758', 'P.Pa.W'], ['357758-357759', 'S.Sa.C.Ca'], ['357759', 'P.Pa.W']]"
357760-357764,"[['357760', 'P.Pa.W'], ['357760-357761', 'C.Ca'], ['357760-357762', 'S.Sa'], ['357761', 'P.Pa.W'], ['357762', 'C.Ca.P.Pa.W'], ['357763', 'P.Pa.W'], ['357763-357764', 'S.Sa.C.Ca'], ['357764', 'P.Pa.W']]"
357801-357805,"[['357801', 'W'], ['357801-357802', 'P.Pa'], ['357801-357803', 'S.Sa.C.Ca'], ['357802', 'W'], ['357803', 'P.Pa.W'], ['357804', 'P.Pa.W'], ['357804-357805', 'S.Sa.C.Ca'], ['357805', 'P.Pa.W']]"
357839-357844,"[['357839', 'P.Pa.W'], ['357839-357840', 'Ca'], ['357840', 'P.Pa.W'], ['357841', 'Sp.W'], ['357841-357842', 'C.Ca.P.Pa'], ['357842', 'Sp.W'], ['357843', 'W'], ['357843-357844', 'Sp'], ['357844', 'W']]"
357845-357849,"[['357845', 'W'], ['357846', 'W'], ['357846-357849', 'Sp'], ['357847', 'Sp.W'], ['357848', 'W'], ['357848-357849', 'Sp'], ['357849', 'W']]"
357874-357877,"[['357874', 'P.Pa.W'], ['357875', 'P.Pa.W'], ['357876', 'W'], ['357876-357877', 'Sp'], ['357877', 'W']]"
357878-357882,"[['357878', 'W'], ['357879', 'W'], ['357879-357882', 'Sp'], ['357880', 'Sp.W'], ['357881', 'W'], ['357881-357882', 'Sp'], ['357882', 'W']]"
357952-357956,"[['357952', 'Pa.W'], ['357953', 'W'], ['357953-357956', 'Pa'], ['357954', 'Sp.W'], ['357955', 'W'], ['357955-357956', 'Sp'], ['357956', 'W']]"
357973-357975,"[['357973', 'P.Pa.W'], ['357974', 'P.Pa.W'], ['357975', 'Pa.W']]"
357983-357987,"[['357983', 'P.Pa.W'], ['357983-357984', 'Sa.C.Ca'], ['357984', 'P.Pa.W'], ['357985', 'P.Pa.W'], ['357985-357987', 'S.Sa.C.Ca'], ['357986', 'P.Pa.W'], ['357987', 'P.Pa.W']]"
358002-358007,"[['358002', 'S.Sa.C.Ca.P.Pa.W'], ['358003', 'P.Pa.W'], ['358003-358004', 'Ca'], ['358004', 'P.Pa.W'], ['358005', 'C.Ca.P.Pa.W'], ['358006', 'W'], ['358006-358007', 'Ca.P.Pa'], ['358007', 'W']]"
358008-358012,"[['358008', 'P.Pa.W'], ['358009', 'W'], ['358009-358012', 'Pa'], ['358010', 'Sp.W'], ['358011', 'W'], ['358011-358012', 'Sp'], ['358012', 'W']]"
358016-358020,"[['358016', 'W'], ['358016-358017', 'P.Pa'], ['358017', 'W'], ['358018', 'W'], ['358018-358020', 'P.Pa'], ['358019', 'W'], ['358020', 'W']]"
358021-358025,"[['358021', 'P.Pa.W'], ['358022', 'W'], ['358022-358023', 'P.Pa'], ['358022-358025', 'C.Ca'], ['358023', 'W'], ['358024', 'P.Pa.W'], ['358025', 'P.Pa.W']]"
358030-358036,"[['358030', 'P.Pa.W'], ['358030-358031', 'S.Sa.C.Ca'], ['358031', 'P.Pa.W'], ['358032', 'P.Pa.W'], ['358033', 'P.Pa.W'], ['358034', 'W'], ['358034-358036', 'Pa'], ['358035', 'W'], ['358036', 'W']]"
358066-358070,"[['358066', 'W'], ['358066-358067', 'C.Ca.P.Pa'], ['358067', 'W'], ['358068', 'P.Pa.W'], ['358068-358070', 'C.Ca'], ['358069', 'P.Pa.W'], ['358070', 'P.Pa.W']]"
358078-358081,"[['358078', 'S.Sa.C.Ca.P.Pa.W'], ['358079', 'P.Pa.W'], ['358079-358081', 'C.Ca'], ['358080', 'P.Pa.W'], ['358081', 'P.Pa.W']]"
358082-358087,"[['358082', 'W'], ['358082-358083', 'P.Pa'], ['358083', 'W'], ['358084', 'P.Pa.W'], ['358085', 'W'], ['358085-358087', 'Sp'], ['358086', 'Sp.W'], ['358087', 'Sp.W']]"
358088-358091,"[['358088', 'W'], ['358089', 'W'], ['358089-358091', 'Sp'], ['358090', 'Sp.W'], ['358091', 'Sp.W']]"
358092-358097,"[['358092', 'P.Pa.W'], ['358092-358093', 'Ca'], ['358093', 'P.Pa.W'], ['358094', 'Sp.W'], ['358094-358095', 'C.Ca.P.Pa'], ['358095', 'Sp.W'], ['358096', 'W'], ['358096-358097', 'Sp'], ['358097', 'W']]"
358098-358102,"[['358098', 'W'], ['358099', 'W'], ['358099-358102', 'Sp'], ['358100', 'Sp.W'], ['358101', 'W'], ['358101-358102', 'Sp'], ['358102', 'W']]"
358114-358119,"[['358114', 'W'], ['358114-358115', 'P.Pa'], ['358115', 'W'], ['358116', 'P.Pa.W'], ['358117', 'W'], ['358117-358119', 'P.Pa'], ['358118', 'W'], ['358119', 'W']]"
358136-358139,"[['358136', 'Sp.W'], ['358136-358137', 'Pa'], ['358137', 'Sp.W'], ['358138', 'P.Pa.W'], ['358139', 'P.Pa.W']]"
358148-358151,"[['358148', 'C.Ca.P.Pa.W'], ['358149', 'P.Pa.W'], ['358150', 'W'], ['358150-358151', 'P.Pa'], ['358151', 'W']]"
358157-358162,"[['358157', 'P.Pa.W'], ['358158', 'P.Pa.W'], ['358159', 'P.Pa.W'], ['358160', 'W'], ['358160-358161', 'Pa'], ['358160-358162', 'P'], ['358161', 'W'], ['358162', 'Pa.W']]"
358174-358176,"[['358174', 'P.Pa.W'], ['358175', 'P.Pa.W'], ['358176', 'P.Pa.W']]"
358189-358198,"[['358189', 'W'], ['358189-358191', 'C.Ca.P.Pa'], ['358190', 'W'], ['358191', 'W'], ['358192', 'P.Pa.W'], ['358193', 'P.Pa.W'], ['358194', 'P.Pa.W'], ['358195', 'P.Pa.W'], ['358196', 'W'], ['358196-358198', 'Sp'], ['358197', 'Sp.W'], ['358198', 'Sp.W']]"
358199-358203,"[['358199', 'W'], ['358200', 'W'], ['358200-358203', 'Sp'], ['358201', 'Sp.W'], ['358202', 'Sp.W'], ['358202-358203', 'Sp'], ['358203', 'Sp.W']]"
358204-358208,"[['358204', 'P.Pa.W'], ['358204-358205', 'C.Ca'], ['358204-358206', 'S.Sa'], ['358205', 'P.Pa.W'], ['358206', 'C.Ca.P.Pa.W'], ['358207', 'P.Pa.W'], ['358207-358208', 'S.Sa.C.Ca'], ['358208', 'P.Pa.W']]"
358209-358210,"[['358209', 'P.Pa.W'], ['358210', 'P.Pa.W']]"
358250-358254,"[['358250', 'W'], ['358250-358253', 'P.Pa'], ['358251', 'Sp.W'], ['358252', 'W'], ['358252-358253', 'Sp'], ['358253', 'W'], ['358254', 'P.Pa.W']]"
358296-358301,"[['358296', 'P.Pa.W'], ['358297', 'P.Pa.W'], ['358298', 'W'], ['358298-358301', 'Sp'], ['358299', 'Sp.W'], ['358300', 'W'], ['358300-358301', 'Sp'], ['358301', 'W']]"
358302-358306,"[['358302', 'W'], ['358303', 'W'], ['358303-358306', 'Sp'], ['358304', 'Sp.W'], ['358305', 'W'], ['358305-358306', 'Sp'], ['358306', 'W']]"
358314-358317,"[['358314', 'P.Pa.W'], ['358314-358316', 'C.Ca'], ['358315', 'W'], ['358315-358316', 'P.Pa'], ['358316', 'W'], ['358317', 'C.Ca.P.Pa.W']]"
358322-358325,"[['358322', 'P.Pa.W'], ['358323', 'W'], ['358323-358325', 'Pa'], ['358324', 'Sp.W'], ['358325', 'Sp.W']]"
358389-358391,"[['358389', 'P.Pa.W'], ['358390', 'Sp.W'], ['358390-358391', 'P.Pa'], ['358391', 'Sp.W']]"
358398-358400,"[['358398', 'Sp.W'], ['358399', 'W'], ['358400', 'Sp.W']]"
358401-358403,"[['358401', 'Sp.W'], ['358402', 'W'], ['358403', 'Sp.W']]"
358424-358428,"[['358424', 'C.Ca.P.Pa.W'], ['358424-358425', 'S.Sa'], ['358425', 'C.Ca.P.Pa.W'], ['358426', 'P.Pa.W'], ['358426-358427', 'C.Ca'], ['358426-358428', 'S.Sa'], ['358427', 'P.Pa.W'], ['358428', 'C.Ca.P.Pa.W']]"
358429-358432,"[['358429', 'P.Pa.W'], ['358429-358430', 'S.Sa.C.Ca'], ['358430', 'P.Pa.W'], ['358431', 'P.Pa.W'], ['358431-358432', 'S.Sa.C.Ca'], ['358432', 'P.Pa.W']]"
358460-358463,"[['358460', 'Sa.C.Ca.P.Pa.W'], ['358461', 'P.Pa.W'], ['358461-358462', 'S.Sa.C.Ca'], ['358462', 'P.Pa.W'], ['358463', 'Sa.C.Ca.P.Pa.W']]"
358472-358477,"[['358472', 'P.Pa.W'], ['358472-358473', 'C.Ca'], ['358473', 'P.Pa.W'], ['358474', 'Pa.W'], ['358474-358477', 'C.Ca.P'], ['358475', 'Pa.W'], ['358476', 'Pa.W'], ['358477', 'Pa.W']]"
358515-358518,"[['358515', 'P.Pa.W'], ['358516', 'P.Pa.W'], ['358517', 'Sp.W'], ['358517-358518', 'P.Pa'], ['358518', 'Sp.W']]"
358527-358530,"[['358527', 'P.Pa.W'], ['358527-358529', 'S.Sa.C.Ca'], ['358528', 'P.Pa.W'], ['358529', 'P.Pa.W'], ['358530', 'S.Sa.C.Ca.P.Pa.W']]"
358535-358538,"[['358535', 'S.Sa.C.Ca.P.Pa.W'], ['358536', 'P.Pa.W'], ['358536-358538', 'S.Sa.C.Ca'], ['358537', 'P.Pa.W'], ['358538', 'P.Pa.W']]"
358539-358542,"[['358539', 'S.Sa.C.Ca.P.Pa.W'], ['358540', 'P.Pa.W'], ['358540-358542', 'S.Sa.C.Ca'], ['358541', 'P.Pa.W'], ['358542', 'P.Pa.W']]"
358551-358552,"[['358551', 'S.Sa.C.Ca.P.Pa.W'], ['358552', 'S.Sa.C.Ca.P.Pa.W']]"
358553-358557,"[['358553', 'P.Pa.W'], ['358554', 'W'], ['358554-358555', 'P.Pa'], ['358555', 'W'], ['358556', 'W'], ['358556-358557', 'P.Pa'], ['358557', 'W']]"
358665-358669,"[['358665', 'P.Pa.W'], ['358665-358666', 'Sa.C.Ca'], ['358666', 'P.Pa.W'], ['358667', 'P.Pa.W'], ['358667-358669', 'S.Sa.C.Ca'], ['358668', 'P.Pa.W'], ['358669', 'P.Pa.W']]"
358686-358689,"[['358686', 'P.Pa.W'], ['358687', 'P.Pa.W'], ['358688', 'W'], ['358688-358689', 'Pa'], ['358689', 'W']]"
358703-358708,"[['358703', 'P.Pa.W'], ['358703-358705', 'S.Sa.C.Ca'], ['358704', 'W'], ['358704-358705', 'P.Pa'], ['358705', 'W'], ['358706', 'P.Pa.W'], ['358706-358708', 'C.Ca'], ['358707', 'P.Pa.W'], ['358708', 'P.Pa.W']]"
358714-358718,"[['358714', 'P.Pa.W'], ['358714-358715', 'Ca'], ['358715', 'P.Pa.W'], ['358716', 'C.Ca.P.Pa.W'], ['358717', 'W'], ['358717-358718', 'Ca.P.Pa'], ['358718', 'W']]"
358760-358764,"[['358760', 'W'], ['358760-358763', 'P.Pa'], ['358761', 'Sp.W'], ['358762', 'W'], ['358762-358763', 'Sp'], ['358763', 'W'], ['358764', 'P.Pa.W']]"
358791-358794,"[['358791', 'P.Pa.W'], ['358791-358792', 'Sa.C.Ca'], ['358792', 'P.Pa.W'], ['358793', 'P.Pa.W'], ['358793-358794', 'S.Sa.C.Ca'], ['358794', 'P.Pa.W']]"
358795-358799,"[['358795', 'Sp.W'], ['358795-358797', 'Sa.C.Ca.P.Pa'], ['358796', 'W'], ['358797', 'Sp.W'], ['358798', 'P.Pa.W'], ['358798-358799', 'S.Sa.C.Ca'], ['358799', 'P.Pa.W']]"
358828-358833,"[['358828', 'W'], ['358828-358829', 'C.Ca.P.Pa'], ['358829', 'W'], ['358830', 'P.Pa.W'], ['358830-358833', 'C.Ca'], ['358831', 'P.Pa.W'], ['358832', 'W'], ['358832-358833', 'P.Pa'], ['358833', 'W']]"
358837-358840,"[['358837', 'P.Pa.W'], ['358837-358838', 'S.Sa.C.Ca'], ['358838', 'P.Pa.W'], ['358839', 'P.Pa.W'], ['358840', 'P.Pa.W']]"
358844-358847,"[['358844', 'S.Sa.C.Ca.P.Pa.W'], ['358845', 'C.Ca.P.Pa.W'], ['358845-358847', 'S.Sa'], ['358846', 'W'], ['358846-358847', 'C.Ca.P.Pa'], ['358847', 'W']]"
358848-358852,"[['358848', 'S.Sa.C.Ca.P.Pa.W'], ['358849', 'S.Sa.C.Ca.P.Pa.W'], ['358850', 'P.Pa.W'], ['358850-358852', 'S.Sa.C.Ca'], ['358851', 'P.Pa.W'], ['358852', 'P.Pa.W']]"
358853-358857,"[['358853', 'P.Pa.W'], ['358854', 'P.Pa.W'], ['358855', 'W'], ['358855-358857', 'P.Pa'], ['358856', 'W'], ['358857', 'W']]"
358892-358896,"[['358892', 'Sp.W'], ['358892-358893', 'P.Pa'], ['358893', 'Sp.W'], ['358894', 'W'], ['358894-358896', 'Pa'], ['358895', 'Sp.W'], ['358896', 'Sp.W']]"
358904-358907,"[['358904', 'P.Pa.W'], ['358905', 'Pa.W'], ['358906', 'W'], ['358906-358907', 'Pa'], ['358907', 'W']]"
358935-358939,"[['358935', 'P.Pa.W'], ['358935-358936', 'S.Sa.C.Ca'], ['358936', 'P.Pa.W'], ['358937', 'P.Pa.W'], ['358937-358939', 'Ca'], ['358938', 'P.Pa.W'], ['358939', 'P.Pa.W']]"
358940-358943,"[['358940', 'C.Ca.P.Pa.W'], ['358941', 'W'], ['358941-358943', 'Ca.P.Pa'], ['358942', 'W'], ['358943', 'W']]"
358953-358956,"[['358953', 'S.Sa.C.Ca.P.Pa.W'], ['358954', 'P.Pa.W'], ['358954-358956', 'S.Sa.C.Ca'], ['358955', 'W'], ['358955-358956', 'P.Pa'], ['358956', 'W']]"
358994-358998,"[['358994', 'C.Ca.P.Pa.W'], ['358994-358995', 'S.Sa'], ['358995', 'C.Ca.P.Pa.W'], ['358996', 'P.Pa.W'], ['358996-358998', 'S.Sa.C.Ca'], ['358997', 'W'], ['358997-358998', 'P.Pa'], ['358998', 'W']]"
359007-359014,"[['359007', 'C.Ca.P.Pa.W'], ['359008', 'P.Pa.W'], ['359008-359011', 'C.Ca'], ['359009', 'P.Pa.W'], ['359010', 'W'], ['359010-359011', 'P.Pa'], ['359011', 'W'], ['359012', 'P.Pa.W'], ['359012-359014', 'C.Ca'], ['359013', 'W'], ['359013-359014', 'P.Pa'], ['359014', 'W']]"
359027-359031,"[['359027', 'P.Pa.W'], ['359028', 'W'], ['359028-359029', 'P.Pa'], ['359029', 'W'], ['359030', 'Sp.W'], ['359030-359031', 'Pa'], ['359031', 'Sp.W']]"
359046-359050,"[['359046', 'P.Pa.W'], ['359046-359049', 'S.Sa.C.Ca'], ['359047', 'W'], ['359047-359049', 'P.Pa'], ['359048', 'W'], ['359049', 'W'], ['359050', 'S.Sa.C.Ca.P.Pa.W']]"
359061-359065,"[['359061', 'P.Pa.W'], ['359062', 'W'], ['359062-359065', 'Pa'], ['359063', 'Sp.W'], ['359064', 'W'], ['359064-359065', 'Sp'], ['359065', 'W']]"
359167-359170,"[['359167', 'P.Pa.W'], ['359168', 'P.Pa.W'], ['359169', 'W'], ['359169-359170', 'P.Pa'], ['359170', 'W']]"
359171-359176,"[['359171', 'W'], ['359171-359173', 'P.Pa'], ['359172', 'W'], ['359173', 'W'], ['359174', 'P.Pa.W'], ['359174-359176', 'C.Ca'], ['359175', 'P.Pa.W'], ['359176', 'P.Pa.W']]"
359199-359202,"[['359199', 'P.Pa.W'], ['359200', 'P.Pa.W'], ['359201', 'W'], ['359201-359202', 'P.Pa'], ['359202', 'W']]"
359219-359222,"[['359219', 'P.Pa.W'], ['359220', 'P.Pa.W'], ['359221', 'W'], ['359221-359222', 'P.Pa'], ['359222', 'W']]"
359249-359249,"[['359249', 'S.Sa.C.Ca.P.Pa.W']]"
359252-359261,"[['359252', 'P.Pa.W'], ['359252-359256', 'C.Ca'], ['359253', 'P.Pa.W'], ['359254', 'P.Pa.W'], ['359255', 'W'], ['359255-359256', 'P.Pa'], ['359256', 'W'], ['359257', 'P.Pa.W'], ['359258', 'W'], ['359258-359261', 'Pa'], ['359259', 'Sp.W'], ['359260', 'W'], ['359260-359261', 'Sp'], ['359261', 'W']]"
